threshold,precision,closed_recall,open_specificity,f1,balanced_accuracy,tp,fp,tn,fn
0.01,0.4318555008210181,0.942652329749104,0.8949286365016702,0.5923423423423424,0.918790483125387,263,346,2947,16
0.015,0.49709864603481624,0.921146953405018,0.9210446401457637,0.6457286432160804,0.9210957967753908,257,260,3033,22
0.019999999999999997,0.5391120507399577,0.9139784946236559,0.9337989675068327,0.6781914893617021,0.9238887310652443,255,218,3075,24
0.024999999999999998,0.5707865168539326,0.910394265232975,0.9419981779532342,0.7016574585635359,0.9261962215931046,254,191,3102,25
0.03,0.5920745920745921,0.910394265232975,0.9468569693288794,0.7175141242937854,0.9286256172809272,254,175,3118,25
0.034999999999999996,0.612590799031477,0.9068100358422939,0.9514120862435469,0.7312138728323699,0.9291110610429204,253,160,3133,26
0.039999999999999994,0.6268656716417911,0.9032258064516129,0.9544488308533252,0.7400881057268722,0.928837318652469,252,150,3143,27
0.045,0.6443298969072165,0.8960573476702509,0.9580929243850592,0.7496251874062969,0.927075136027655,250,138,3155,29
0.049999999999999996,0.6552631578947369,0.8924731182795699,0.9602186456119041,0.755690440060698,0.926345881945737,249,131,3162,30
0.05499999999999999,0.6720867208672087,0.8888888888888888,0.9632553902216824,0.765432098765432,0.9260721395552856,248,121,3172,31
0.05999999999999999,0.6814404432132964,0.8817204301075269,0.9650774369875493,0.76875,0.9233989335475381,246,115,3178,33
0.06499999999999999,0.6910112359550562,0.8817204301075269,0.9665958092924385,0.7748031496062994,0.9241581196999826,246,110,3183,33
0.06999999999999999,0.7008547008547008,0.8817204301075269,0.9681141815973276,0.7809523809523811,0.9249173058524273,246,105,3188,33
0.07499999999999998,0.7101449275362319,0.8781362007168458,0.9696325539022168,0.7852564102564104,0.9238843773095313,245,100,3193,34
0.07999999999999999,0.7197640117994101,0.8745519713261649,0.971150926207106,0.7896440129449839,0.9228514487666355,244,95,3198,35
0.08499999999999998,0.7297297297297297,0.8709677419354839,0.9726692985119951,0.7941176470588235,0.9218185202237394,243,90,3203,36
0.08999999999999998,0.7333333333333333,0.8673835125448028,0.9732766474339508,0.7947454844006567,0.9203300799893768,242,88,3205,37
0.09499999999999999,0.7370030581039755,0.8637992831541219,0.9738839963559065,0.7953795379537953,0.9188416397550142,241,86,3207,38
0.09999999999999998,0.7422360248447205,0.8566308243727598,0.97479501973884,0.7953410981697171,0.9157129220557999,239,83,3210,40
0.10499999999999998,0.746875,0.8566308243727598,0.9754023686607957,0.7979966611018363,0.9160165965167777,239,81,3212,40
0.10999999999999997,0.7563291139240507,0.8566308243727598,0.9766170665047069,0.803361344537815,0.9166239454387334,239,77,3216,40
0.11499999999999998,0.7579617834394905,0.8530465949820788,0.9769207409656848,0.8026981450252952,0.9149836679738819,238,76,3217,41
0.11999999999999998,0.7628205128205128,0.8530465949820788,0.9775280898876404,0.805414551607445,0.9152873424348595,238,74,3219,41
0.12499999999999997,0.762987012987013,0.8422939068100358,0.9778317643486183,0.8006814310051108,0.910062835579327,235,73,3220,44
0.12999999999999998,0.7679738562091504,0.8422939068100358,0.978439113270574,0.8034188034188035,0.9103665100403049,235,71,3222,44
0.13499999999999998,0.7704918032786885,0.8422939068100358,0.9787427877315518,0.8047945205479452,0.9105183472707938,235,70,3223,44
0.13999999999999999,0.7766666666666666,0.8351254480286738,0.9796538111144852,0.8048359240069085,0.9073896295715795,233,67,3226,46
0.145,0.7785234899328859,0.8315412186379928,0.9799574855754631,0.804159445407279,0.9057493521067279,232,66,3227,47
0.15,0.7830508474576271,0.8279569892473119,0.9805648344974187,0.8048780487804879,0.9042609118723652,231,64,3229,48
0.155,0.7830508474576271,0.8279569892473119,0.9805648344974187,0.8048780487804879,0.9042609118723652,231,64,3229,48
0.15999999999999998,0.7842465753424658,0.8207885304659498,0.9808685089583966,0.8021015761821366,0.9008285197121733,229,63,3230,50
0.16499999999999998,0.7862068965517242,0.8172043010752689,0.9811721834193744,0.8014059753954308,0.8991882422473216,228,62,3231,51
0.16999999999999998,0.7889273356401384,0.8172043010752689,0.9814758578803523,0.8028169014084507,0.8993400794778106,228,61,3232,51
0.175,0.7889273356401384,0.8172043010752689,0.9814758578803523,0.8028169014084507,0.8993400794778106,228,61,3232,51
0.18,0.7916666666666666,0.8172043010752689,0.9817795323413301,0.8042328042328043,0.8994919167082995,228,60,3233,51
0.18499999999999997,0.794425087108014,0.8172043010752689,0.9820832068023079,0.8056537102473498,0.8996437539387884,228,59,3234,51
0.18999999999999997,0.8,0.8172043010752689,0.9826905557242636,0.8085106382978724,0.8999474283997662,228,57,3236,51
0.19499999999999998,0.8049645390070922,0.8136200716845878,0.9832979046462192,0.8092691622103386,0.8984589881654035,227,55,3238,52
0.19999999999999998,0.8078291814946619,0.8136200716845878,0.983601579107197,0.8107142857142856,0.8986108253958924,227,54,3239,52
0.205,0.8071428571428572,0.8100358422939068,0.983601579107197,0.8085867620751341,0.8968187107005519,226,54,3239,53
0.20999999999999996,0.8064516129032258,0.8064516129032258,0.983601579107197,0.8064516129032258,0.8950265960052114,225,54,3239,54
0.21499999999999997,0.8093525179856115,0.8064516129032258,0.9839052535681749,0.8078994614003591,0.8951784332357003,225,53,3240,54
0.21999999999999997,0.8122743682310469,0.8064516129032258,0.9842089280291527,0.8093525179856115,0.8953302704661892,225,52,3241,54
0.22499999999999998,0.8109090909090909,0.7992831541218638,0.9842089280291527,0.8050541516245487,0.8917460410755083,223,52,3241,56
0.22999999999999998,0.8109090909090909,0.7992831541218638,0.9842089280291527,0.8050541516245487,0.8917460410755083,223,52,3241,56
0.235,0.8131868131868132,0.7956989247311828,0.9845126024901306,0.8043478260869565,0.8901057636106566,222,51,3242,57
0.23999999999999996,0.8125,0.7921146953405018,0.9845126024901306,0.8021778584392014,0.8883136489153163,221,51,3242,58
0.24499999999999997,0.8185185185185185,0.7921146953405018,0.9851199514120862,0.8051001821493625,0.888617323376294,221,49,3244,58
0.24999999999999997,0.8185185185185185,0.7921146953405018,0.9851199514120862,0.8051001821493625,0.888617323376294,221,49,3244,58
0.25499999999999995,0.8185185185185185,0.7921146953405018,0.9851199514120862,0.8051001821493625,0.888617323376294,221,49,3244,58
0.25999999999999995,0.8215613382899628,0.7921146953405018,0.9854236258730641,0.8065693430656935,0.8887691606067829,221,48,3245,58
0.26499999999999996,0.8215613382899628,0.7921146953405018,0.9854236258730641,0.8065693430656935,0.8887691606067829,221,48,3245,58
0.26999999999999996,0.8246268656716418,0.7921146953405018,0.9857273003340419,0.8080438756855577,0.8889209978372719,221,47,3246,58
0.27499999999999997,0.8246268656716418,0.7921146953405018,0.9857273003340419,0.8080438756855577,0.8889209978372719,221,47,3246,58
0.27999999999999997,0.8277153558052435,0.7921146953405018,0.9860309747950198,0.8095238095238096,0.8890728350677608,221,46,3247,58
0.285,0.8308270676691729,0.7921146953405018,0.9863346492559976,0.8110091743119267,0.8892246722982498,221,45,3248,58
0.29,0.8339622641509434,0.7921146953405018,0.9866383237169754,0.8125000000000001,0.8893765095287386,221,44,3249,58
0.295,0.8339622641509434,0.7921146953405018,0.9866383237169754,0.8125000000000001,0.8893765095287386,221,44,3249,58
0.3,0.8371212121212122,0.7921146953405018,0.9869419981779533,0.8139963167587477,0.8895283467592275,221,43,3250,58
0.30499999999999994,0.8403041825095057,0.7921146953405018,0.987245672638931,0.8154981549815499,0.8896801839897164,221,42,3251,58
0.30999999999999994,0.8461538461538461,0.7885304659498208,0.9878530215608867,0.8163265306122449,0.8881917437553537,220,40,3253,59
0.31499999999999995,0.8461538461538461,0.7885304659498208,0.9878530215608867,0.8163265306122449,0.8881917437553537,220,40,3253,59
0.31999999999999995,0.8461538461538461,0.7885304659498208,0.9878530215608867,0.8163265306122449,0.8881917437553537,220,40,3253,59
0.32499999999999996,0.8461538461538461,0.7885304659498208,0.9878530215608867,0.8163265306122449,0.8881917437553537,220,40,3253,59
0.32999999999999996,0.8455598455598455,0.7849462365591398,0.9878530215608867,0.8141263940520446,0.8863996290600132,219,40,3253,60
0.33499999999999996,0.8455598455598455,0.7849462365591398,0.9878530215608867,0.8141263940520446,0.8863996290600132,219,40,3253,60
0.33999999999999997,0.8455598455598455,0.7849462365591398,0.9878530215608867,0.8141263940520446,0.8863996290600132,219,40,3253,60
0.345,0.8455598455598455,0.7849462365591398,0.9878530215608867,0.8141263940520446,0.8863996290600132,219,40,3253,60
0.35,0.8515625,0.7813620071684588,0.9884603704828424,0.8149532710280374,0.8849111888256507,218,38,3255,61
0.355,0.8515625,0.7813620071684588,0.9884603704828424,0.8149532710280374,0.8849111888256507,218,38,3255,61
0.35999999999999993,0.8515625,0.7813620071684588,0.9884603704828424,0.8149532710280374,0.8849111888256507,218,38,3255,61
0.36499999999999994,0.8509803921568627,0.7777777777777778,0.9884603704828424,0.8127340823970037,0.8831190741303101,217,38,3255,62
0.36999999999999994,0.8543307086614174,0.7777777777777778,0.9887640449438202,0.8142589118198874,0.883270911360799,217,37,3256,62
0.37499999999999994,0.8543307086614174,0.7777777777777778,0.9887640449438202,0.8142589118198874,0.883270911360799,217,37,3256,62
0.37999999999999995,0.8543307086614174,0.7777777777777778,0.9887640449438202,0.8142589118198874,0.883270911360799,217,37,3256,62
0.38499999999999995,0.857707509881423,0.7777777777777778,0.9890677194047981,0.8157894736842106,0.883422748591288,217,36,3257,62
0.38999999999999996,0.857707509881423,0.7777777777777778,0.9890677194047981,0.8157894736842106,0.883422748591288,217,36,3257,62
0.39499999999999996,0.857707509881423,0.7777777777777778,0.9890677194047981,0.8157894736842106,0.883422748591288,217,36,3257,62
0.39999999999999997,0.857707509881423,0.7777777777777778,0.9890677194047981,0.8157894736842106,0.883422748591288,217,36,3257,62
0.40499999999999997,0.857707509881423,0.7777777777777778,0.9890677194047981,0.8157894736842106,0.883422748591288,217,36,3257,62
0.4099999999999999,0.857707509881423,0.7777777777777778,0.9890677194047981,0.8157894736842106,0.883422748591288,217,36,3257,62
0.4149999999999999,0.857707509881423,0.7777777777777778,0.9890677194047981,0.8157894736842106,0.883422748591288,217,36,3257,62
0.41999999999999993,0.8611111111111112,0.7777777777777778,0.9893713938657759,0.8173258003766479,0.8835745858217768,217,35,3258,62
0.42499999999999993,0.8645418326693227,0.7777777777777778,0.9896750683267537,0.8188679245283019,0.8837264230522657,217,34,3259,62
0.42999999999999994,0.8645418326693227,0.7777777777777778,0.9896750683267537,0.8188679245283019,0.8837264230522657,217,34,3259,62
0.43499999999999994,0.8645418326693227,0.7777777777777778,0.9896750683267537,0.8188679245283019,0.8837264230522657,217,34,3259,62
0.43999999999999995,0.8645418326693227,0.7777777777777778,0.9896750683267537,0.8188679245283019,0.8837264230522657,217,34,3259,62
0.44499999999999995,0.8645418326693227,0.7777777777777778,0.9896750683267537,0.8188679245283019,0.8837264230522657,217,34,3259,62
0.44999999999999996,0.8645418326693227,0.7777777777777778,0.9896750683267537,0.8188679245283019,0.8837264230522657,217,34,3259,62
0.45499999999999996,0.864,0.7741935483870968,0.9896750683267537,0.8166351606805292,0.8819343083569252,216,34,3259,63
0.45999999999999996,0.8674698795180723,0.7741935483870968,0.9899787427877316,0.8181818181818182,0.8820861455874142,216,33,3260,63
0.4649999999999999,0.8669354838709677,0.7706093189964157,0.9899787427877316,0.8159392789373814,0.8802940308920737,215,33,3260,64
0.4699999999999999,0.8704453441295547,0.7706093189964157,0.9902824172487094,0.8174904942965779,0.8804458681225625,215,32,3261,64
0.4749999999999999,0.8699186991869918,0.7670250896057348,0.9902824172487094,0.8152380952380952,0.8786537534272221,214,32,3261,65
0.4799999999999999,0.8699186991869918,0.7670250896057348,0.9902824172487094,0.8152380952380952,0.8786537534272221,214,32,3261,65
0.48499999999999993,0.8770491803278688,0.7670250896057348,0.990889766170665,0.8183556405353728,0.8789574278882,214,30,3263,65
0.48999999999999994,0.8770491803278688,0.7670250896057348,0.990889766170665,0.8183556405353728,0.8789574278882,214,30,3263,65
0.49499999999999994,0.8770491803278688,0.7670250896057348,0.990889766170665,0.8183556405353728,0.8789574278882,214,30,3263,65
0.49999999999999994,0.8765432098765432,0.7634408602150538,0.990889766170665,0.8160919540229884,0.8771653131928594,213,30,3263,66
0.5049999999999999,0.8765432098765432,0.7634408602150538,0.990889766170665,0.8160919540229884,0.8771653131928594,213,30,3263,66
