threshold,precision,yawn_recall,non_yawn_specificity,f1,balanced_accuracy,tp,fp,tn,fn
0.01,0.11554541999239833,1.0,0.09806201550387597,0.20715502555366266,0.549031007751938,304,2327,253,0
0.015,0.13505108840515326,1.0,0.2453488372093023,0.23796477495107632,0.6226744186046511,304,1947,633,0
0.019999999999999997,0.15792235047219308,0.9901315789473685,0.37790697674418605,0.27239819004524884,0.6840192778457772,301,1605,975,3
0.024999999999999998,0.18847839699436444,0.9901315789473685,0.49767441860465117,0.3166754339821147,0.7439029987760098,301,1296,1284,3
0.03,0.22058823529411764,0.9868421052631579,0.5891472868217055,0.3605769230769231,0.7879946960424317,300,1060,1520,4
0.034999999999999996,0.2557544757033248,0.9868421052631579,0.6616279069767442,0.40622884224779954,0.824235006119951,300,873,1707,4
0.039999999999999994,0.2877906976744186,0.9769736842105263,0.7151162790697675,0.44461077844311375,0.846044981640147,297,735,1845,7
0.045,0.3231106243154436,0.9703947368421053,0.7604651162790698,0.48479868529170084,0.8654299265605876,295,618,1962,9
0.049999999999999996,0.3601953601953602,0.9703947368421053,0.7968992248062016,0.5253784505788067,0.8836469808241534,295,524,2056,9
0.05499999999999999,0.38552631578947366,0.9638157894736842,0.8189922480620155,0.5507518796992481,0.8914040187678498,293,467,2113,11
0.05999999999999999,0.4112676056338028,0.9605263157894737,0.837984496124031,0.5759368836291913,0.8992554059567524,292,418,2162,12
0.06499999999999999,0.4330357142857143,0.9572368421052632,0.8523255813953489,0.5963114754098361,0.904781211750306,291,381,2199,13
0.06999999999999999,0.4582677165354331,0.9572368421052632,0.8666666666666667,0.6198083067092652,0.911951754385965,291,344,2236,13
0.07499999999999998,0.4817880794701987,0.9572368421052632,0.8786821705426356,0.6409691629955948,0.9179595063239494,291,313,2267,13
0.07999999999999999,0.5052264808362369,0.9539473684210527,0.889922480620155,0.6605922551252846,0.9219349245206039,290,284,2296,14
0.08499999999999998,0.5169340463458111,0.9539473684210527,0.8949612403100775,0.6705202312138728,0.9244543043655651,290,271,2309,14
0.08999999999999998,0.5350553505535055,0.9539473684210527,0.9023255813953488,0.685579196217494,0.9281364749082007,290,252,2328,14
0.09499999999999999,0.5482041587901701,0.9539473684210527,0.9073643410852713,0.6962785114045619,0.930655854753162,290,239,2341,14
0.09999999999999998,0.562015503875969,0.9539473684210527,0.9124031007751938,0.7073170731707317,0.9331752345981232,290,226,2354,14
0.10499999999999998,0.5742574257425742,0.9539473684210527,0.9166666666666666,0.7169344870210135,0.9353070175438596,290,215,2365,14
0.10999999999999997,0.5873983739837398,0.9506578947368421,0.9213178294573643,0.7261306532663317,0.9359878620971032,289,203,2377,15
0.11499999999999998,0.598343685300207,0.9506578947368421,0.9248062015503876,0.7344345616264294,0.9377320481436149,289,194,2386,15
0.11999999999999998,0.6067653276955602,0.944078947368421,0.9279069767441861,0.7387387387387387,0.9359929620563036,287,186,2394,17
0.12499999999999997,0.6266375545851528,0.944078947368421,0.9337209302325581,0.753280839895013,0.9388999388004895,287,171,2409,17
0.12999999999999998,0.6449438202247191,0.944078947368421,0.9387596899224806,0.7663551401869159,0.9414193186454508,287,158,2422,17
0.13499999999999998,0.6552511415525114,0.944078947368421,0.9414728682170542,0.7735849056603773,0.9427759077927376,287,151,2429,17
0.13999999999999999,0.658256880733945,0.944078947368421,0.9422480620155039,0.7756756756756757,0.9431635046919624,287,149,2431,17
0.145,0.6705607476635514,0.944078947368421,0.9453488372093023,0.784153005464481,0.9447138922888616,287,141,2439,17
0.15,0.6768867924528302,0.944078947368421,0.9468992248062016,0.7884615384615384,0.9454890860873113,287,137,2443,17
0.155,0.6825775656324582,0.9407894736842105,0.9484496124031008,0.7911479944674965,0.9446195430436557,286,133,2447,18
0.15999999999999998,0.6951219512195121,0.9375,0.9515503875968992,0.7983193277310924,0.9445251937984496,285,125,2455,19
0.16499999999999998,0.7037037037037037,0.9375,0.9534883720930233,0.8039492242595204,0.9454941860465116,285,120,2460,19
0.16999999999999998,0.7142857142857143,0.9375,0.9558139534883721,0.8108108108108109,0.946656976744186,285,114,2466,19
0.175,0.7233502538071066,0.9375,0.9577519379844961,0.8166189111747851,0.947625968992248,285,109,2471,19
0.18,0.7326478149100257,0.9375,0.9596899224806201,0.8225108225108225,0.9485949612403101,285,104,2476,19
0.18499999999999997,0.7357512953367875,0.9342105263157895,0.9604651162790697,0.8231884057971015,0.9473378212974296,284,102,2478,20
