epoch,train_loss,loss,macro_ap,macro_roc_auc,balanced_accuracy,macro_f1,not_yawn_ap,not_yawn_precision,not_yawn_recall,not_yawn_f1,talking_ap,talking_precision,talking_recall,talking_f1,yawn_ap,yawn_precision,yawn_recall,yawn_f1,backbone_lr,classifier_lr
1,0.5248023613036834,0.4718313354807654,0.9179011156017488,0.9524034966928273,0.845083760190414,0.8681063795161995,0.9502700027265624,0.886277001270648,0.9457627118644067,0.9150541161036405,0.9135352687750492,0.8651685393258427,0.8361990950226245,0.8504371836171192,0.889898075303635,0.9462809917355371,0.7532894736842105,0.8388278388278388,3e-05,0.0003
2,0.3543574129752824,0.4042300247120956,0.9432289773142976,0.9687888693802207,0.8824570754672555,0.8840082464043469,0.9645372488001144,0.9083333333333333,0.9606779661016949,0.9337726523887974,0.9403241805929592,0.9096267190569745,0.8380090497737557,0.8723504474799811,0.9248255025498193,0.8431372549019608,0.8486842105263158,0.8459016393442623,3e-05,0.0003
3,0.30898716112277,0.3820685588453745,0.951572367610097,0.973669969320015,0.8956812894649385,0.8907914461821896,0.9731709774549963,0.9274406332453826,0.9532203389830508,0.9401537947174858,0.9486473980504763,0.9072657743785851,0.8588235294117647,0.8823802882380288,0.9328987273248184,0.8260869565217391,0.875,0.8498402555910544,3e-05,0.0003
4,0.28740535864742367,0.3636261742670559,0.9548779223418228,0.9758400874819074,0.9081986093003042,0.9102079846724297,0.9765844202741917,0.9363395225464191,0.9572881355932203,0.9466979550787797,0.9550694993014297,0.9172093023255814,0.8923076923076924,0.9045871559633027,0.9329798474498473,0.8837209302325582,0.875,0.8793388429752066,3e-05,0.0003
5,0.26341322099474396,0.35678591084215744,0.958782357563443,0.9785740203126211,0.9131168976202297,0.9079508714730734,0.9771202279952635,0.9403183023872679,0.9613559322033899,0.9507207509218907,0.9565168409787133,0.9259962049335864,0.8832579185520362,0.904122278832793,0.942710003716352,0.84472049689441,0.8947368421052632,0.8690095846645367,3e-05,0.0003
6,0.2514326336228053,0.3593401211971384,0.9580832685440196,0.9781430042637328,0.911351206165579,0.8972739428920428,0.9792669132208565,0.9551020408163265,0.951864406779661,0.9534804753820034,0.9534892423688458,0.915651358950328,0.8841628959276018,0.8996316758747698,0.9414936500423563,0.7867435158501441,0.8980263157894737,0.8387096774193549,3e-05,0.0003
7,0.24180559699828658,0.33583778060259667,0.961787671540514,0.9806318886317195,0.9169267131130227,0.9110054954327031,0.9826453054913118,0.9609053497942387,0.9498305084745763,0.9553358336174566,0.9591849726745881,0.9086799276672695,0.9095022624434389,0.9090909090909091,0.9435327364556423,0.846875,0.8914473684210527,0.8685897435897436,3e-05,0.0003
8,0.2359180930677492,0.33203842438209735,0.9631957589187498,0.980792282911468,0.9181261916006367,0.9182947815508431,0.980637334010803,0.9426121372031663,0.968813559322034,0.9555332664660648,0.9633074485887004,0.9311969839773798,0.8941176470588236,0.9122807017543859,0.9456424941567456,0.8827361563517915,0.8914473684210527,0.8870703764320785,3e-05,0.0003
9,0.22397555036938627,0.32883270626342576,0.9634104745160044,0.9817273422521322,0.9227287940496997,0.9261612413207407,0.9808968623945815,0.9504685408299867,0.9627118644067797,0.9565510272819131,0.9614044981850607,0.923217550274223,0.9140271493212669,0.9185993633469759,0.9479300629683708,0.9155405405405406,0.8914473684210527,0.9033333333333333,3e-05,0.0003
10,0.22112034353313179,0.32679282804633314,0.9620564635274858,0.9793765587904654,0.9226849680378567,0.9262028093214848,0.9813769270511323,0.9630895420369104,0.9552542372881356,0.9591558883594282,0.9637924540343847,0.9122340425531915,0.9312217194570136,0.9216300940438872,0.9410000094969401,0.9146757679180887,0.881578947368421,0.897822445561139,3e-05,0.0003
11,0.21646508580806656,0.3284037342390637,0.9615508603785133,0.9801748425143143,0.9192231201133442,0.9170520615521185,0.9790964566938571,0.9616438356164384,0.951864406779661,0.9567291311754685,0.960842474279844,0.9094170403587444,0.9176470588235294,0.9135135135135135,0.9447136501618388,0.8737864077669902,0.8881578947368421,0.8809135399673735,1.5e-05,0.00015
12,0.20791546393108082,0.32342108602580016,0.9642046627053547,0.9815619250332057,0.9192900246628536,0.922733351084415,0.9803814348530315,0.9528301886792453,0.9586440677966102,0.9557282865833052,0.9641344841955994,0.9176470588235294,0.9176470588235294,0.9176470588235294,0.9480980690674331,0.9084745762711864,0.881578947368421,0.8948247078464107,1.5e-05,0.00015
13,0.20548235627445416,0.32387827285119797,0.9640537281666176,0.981164261544501,0.9190697341174855,0.9171234178236664,0.9806639175071826,0.9560513860716701,0.9586440677966102,0.957345971563981,0.9655471758878547,0.9187214611872146,0.9104072398190045,0.9145454545454546,0.9459500911048155,0.8709677419354839,0.8881578947368421,0.8794788273615635,1.5e-05,0.00015
14,0.20522654399611653,0.32918354341871364,0.9636285232389149,0.9819485663929147,0.9200587105081516,0.9116674180583354,0.9807336947022763,0.9526034712950601,0.967457627118644,0.9599730911537168,0.962997902435973,0.933649289099526,0.8914027149321267,0.9120370370370371,0.9471539725784954,0.8277945619335347,0.9013157894736842,0.862992125984252,7.5e-06,7.5e-05
15,0.20014397337800957,0.3247642318683259,0.9628973437541687,0.9807818182319776,0.919745655072569,0.9179706788980236,0.9805405962198745,0.9525401069518716,0.9661016949152542,0.9592729720632783,0.9636112407600488,0.9285051067780873,0.9049773755656109,0.916590284142988,0.944540194282583,0.8681672025723473,0.8881578947368421,0.8780487804878049,7.5e-06,7.5e-05
