epoch,train_loss,loss,ap,roc_auc,balanced_accuracy_05,closed_precision_05,closed_recall_05,closed_f1_05,backbone_lr,classifier_lr
1,0.1660113322754185,0.28572989761629136,0.8492886796438827,0.9746448151667435,0.8578476990945276,0.8,0.7311827956989247,0.7640449438202247,3e-05,0.0003
2,0.04908528352044127,0.2679385779652857,0.8843970357077421,0.979767552982486,0.8796567498995915,0.8150943396226416,0.7741935483870968,0.7941176470588235,3e-05,0.0003
3,0.0316704698773145,0.31291344358031986,0.9081476042776259,0.9825392627132388,0.8648022796264914,0.9234234234234234,0.7347670250896058,0.8183632734530938,3e-05,0.0003
4,0.022497039021750407,0.29787349989606443,0.9250955923703065,0.9857517902099271,0.872578087329809,0.9414414414414415,0.7491039426523297,0.8343313373253493,3e-05,0.0003
5,0.022056568887001155,0.2684317402049382,0.9307601706671971,0.9890383315537357,0.9001890618418346,0.9183673469387755,0.8064516129032258,0.8587786259541985,3e-05,0.0003
6,0.016823829795534085,0.2630221969036079,0.9327469362460601,0.9871395498434281,0.9000372246113457,0.9146341463414634,0.8064516129032258,0.8571428571428571,3e-05,0.0003
7,0.013371435076302333,0.2892682411168751,0.9195548299585894,0.9841022610141855,0.8904693022126875,0.8979591836734694,0.7885304659498208,0.8396946564885496,3e-05,0.0003
8,0.008546347316209372,0.47931003513822096,0.9144016557596645,0.9730018166045712,0.857360078454678,0.966183574879227,0.7168458781362007,0.823045267489712,1.5e-05,0.00015
9,0.009031744757524243,0.3052779231533358,0.9381641253507574,0.9876249936054212,0.8937797892129171,0.9364406779661016,0.7921146953405018,0.858252427184466,1.5e-05,0.00015
10,0.004646915849878082,0.27231624348700245,0.9342444124540603,0.9860396823064457,0.9016775020761972,0.9112903225806451,0.8100358422939068,0.857685009487666,1.5e-05,0.00015
11,0.005437935961832632,0.30643622405318105,0.9332706741437716,0.9859281173163016,0.898548784376983,0.9218106995884774,0.8028673835125448,0.8582375478927203,7.5e-06,7.5e-05
12,0.005173433970669867,0.3143421569703541,0.9393502121473437,0.9866590040566119,0.8996116449904055,0.9491525423728814,0.8028673835125448,0.8699029126213592,7.5e-06,7.5e-05
13,0.0039983693662857134,0.3490209034148683,0.9331355982545702,0.9857044431165489,0.8888589568183625,0.9478260869565217,0.7813620071684588,0.8565815324165029,7.5e-06,7.5e-05
14,0.0017925701362671608,0.3320213119433682,0.9230112156779031,0.9835934158152353,0.895997483529198,0.902834008097166,0.7992831541218638,0.8479087452471483,3.75e-06,3.75e-05
15,0.002489955850665616,0.42139215345211817,0.9166670207012797,0.9790742173851996,0.8800502205721488,0.9508928571428571,0.7634408602150538,0.8469184890656064,3.75e-06,3.75e-05
