threshold,precision,closed_recall,open_specificity,f1,balanced_accuracy,tp,fp,tn,fn
0.01,0.7060439560439561,0.921146953405018,0.967506832675372,0.7993779160186625,0.9443268930401949,257,107,3186,22
0.015,0.7383720930232558,0.910394265232975,0.9726692985119951,0.8154093097913323,0.9415317818724851,254,90,3203,25
0.019999999999999997,0.7604790419161677,0.910394265232975,0.9757060431217734,0.8287112561174552,0.9430501541773741,254,80,3213,25
0.024999999999999998,0.7659574468085106,0.9032258064516129,0.9766170665047069,0.8289473684210527,0.9399214364781598,252,77,3216,27
0.03,0.7763975155279503,0.8960573476702509,0.9781354388095961,0.831946755407654,0.9370963932399234,250,72,3221,29
0.034999999999999996,0.7861635220125787,0.8960573476702509,0.9793501366535075,0.8375209380234506,0.9377037421618792,250,68,3225,29
0.039999999999999994,0.7886435331230284,0.8960573476702509,0.9796538111144852,0.8389261744966443,0.9378555793923681,250,67,3226,29
0.045,0.8012820512820513,0.8960573476702509,0.9811721834193744,0.8460236886632826,0.9386147655448127,250,62,3231,29
0.049999999999999996,0.8084415584415584,0.8924731182795699,0.9820832068023079,0.848381601362862,0.9372781625409389,249,59,3234,30
0.05499999999999999,0.8157894736842105,0.8888888888888888,0.9829942301852415,0.8507718696397941,0.9359415595370651,248,56,3237,31
0.05999999999999999,0.8305084745762712,0.8781362007168458,0.9848162769511084,0.8536585365853658,0.9314762388339771,245,50,3243,34
0.06499999999999999,0.8361774744027304,0.8781362007168458,0.9854236258730641,0.8566433566433567,0.9317799132949549,245,48,3245,34
0.06999999999999999,0.8419243986254296,0.8781362007168458,0.9860309747950198,0.8596491228070176,0.9320835877559328,245,46,3247,34
0.07499999999999998,0.8501742160278746,0.8745519713261649,0.9869419981779533,0.8621908127208481,0.9307469847520591,244,43,3250,35
0.07999999999999999,0.8526315789473684,0.8709677419354839,0.987245672638931,0.8617021276595744,0.9291067072872075,243,42,3251,36
0.08499999999999998,0.8546099290780141,0.8637992831541219,0.9875493470999089,0.8591800356506237,0.9256743151270155,241,41,3252,38
0.08999999999999998,0.8576512455516014,0.8637992831541219,0.9878530215608867,0.8607142857142858,0.9258261523575043,241,40,3253,38
0.09499999999999999,0.8607142857142858,0.8637992831541219,0.9881566960218645,0.8622540250447228,0.9259779895879932,241,39,3254,38
0.09999999999999998,0.8659420289855072,0.8566308243727598,0.9887640449438202,0.8612612612612611,0.92269743465829,239,37,3256,40
0.10499999999999998,0.8690909090909091,0.8566308243727598,0.9890677194047981,0.8628158844765343,0.922849271888779,239,36,3257,40
0.10999999999999997,0.8717948717948718,0.8530465949820788,0.9893713938657759,0.8623188405797102,0.9212089944239273,238,35,3258,41
0.11499999999999998,0.8713235294117647,0.8494623655913979,0.9893713938657759,0.8602540834845737,0.9194168797285869,237,35,3258,42
0.11999999999999998,0.8740740740740741,0.8458781362007168,0.9896750683267537,0.8597449908925319,0.9177766022637353,236,34,3259,43
0.12499999999999997,0.8773234200743495,0.8458781362007168,0.9899787427877316,0.8613138686131386,0.9179284394942242,236,33,3260,43
0.12999999999999998,0.8805970149253731,0.8458781362007168,0.9902824172487094,0.862888482632541,0.9180802767247132,236,32,3261,43
0.13499999999999998,0.8838951310861424,0.8458781362007168,0.9905860917096873,0.8644688644688645,0.9182321139552021,236,31,3262,43
0.13999999999999999,0.8901515151515151,0.8422939068100358,0.9911934406316428,0.8655616942909761,0.9167436737208393,235,29,3264,44
0.145,0.8901515151515151,0.8422939068100358,0.9911934406316428,0.8655616942909761,0.9167436737208393,235,29,3264,44
0.15,0.896551724137931,0.8387096774193549,0.9918007895535985,0.8666666666666666,0.9152552334864767,234,27,3266,45
0.155,0.8961538461538462,0.8351254480286738,0.9918007895535985,0.8645640074211504,0.9134631187911362,233,27,3266,46
0.15999999999999998,0.8961538461538462,0.8351254480286738,0.9918007895535985,0.8645640074211504,0.9134631187911362,233,27,3266,46
0.16499999999999998,0.8961538461538462,0.8351254480286738,0.9918007895535985,0.8645640074211504,0.9134631187911362,233,27,3266,46
0.16999999999999998,0.8957528957528957,0.8315412186379928,0.9918007895535985,0.862453531598513,0.9116710040957956,232,27,3266,47
