epoch,train_loss,loss,macro_ap,macro_roc_auc,balanced_accuracy,macro_f1,not_yawn_ap,not_yawn_precision,not_yawn_recall,not_yawn_f1,talking_ap,talking_precision,talking_recall,talking_f1,yawn_ap,yawn_precision,yawn_recall,yawn_f1,backbone_lr,classifier_lr
1,0.6305041751542901,0.45376403454107317,0.924784287093237,0.9566412398998047,0.8754597543402182,0.8633999863906304,0.9438994853338315,0.91324200913242,0.9491525423728814,0.9308510638297872,0.925496422950438,0.897410358565737,0.8153846153846154,0.8544333807491702,0.9049569529954413,0.7550432276657061,0.8618421052631579,0.804915514592934,3e-05,0.0003
2,0.3424505568587779,0.37394494587108595,0.9487469253128499,0.9711078441443105,0.9077184404949793,0.9051375163422763,0.9667705242197494,0.9274141283214518,0.9701694915254238,0.94831013916501,0.9494168427740717,0.9296875,0.8615384615384616,0.8943165805542508,0.9300534089447288,0.8548895899053628,0.8914473684210527,0.8727858293075684,3e-05,0.0003
3,0.2910700078108917,0.35164761646610687,0.9563254655018755,0.9759223318390339,0.913347561902686,0.907308103489978,0.9730051070460802,0.9393139841688655,0.9654237288135593,0.9521899030424608,0.957014552501038,0.925215723873442,0.8733031674208145,0.8985102420856611,0.9389567369585081,0.8430769230769231,0.9013157894736842,0.8712241653418124,3e-05,0.0003
4,0.26767464723135304,0.3366582971505418,0.961091819566926,0.9781635984999862,0.9184011191795732,0.916524825066397,0.9762005856203135,0.9429329794293297,0.9633898305084746,0.9530516431924883,0.9618041980752192,0.923943661971831,0.890497737556561,0.9069124423963134,0.9452706750052455,0.8782051282051282,0.9013157894736842,0.8896103896103896,3e-05,0.0003
5,0.24903252576815946,0.3337322436738113,0.9628896025127857,0.9794124872748352,0.9201421242345837,0.9167412019943487,0.978017501389727,0.9441117764471058,0.9620338983050848,0.9529885829415715,0.9618533304838519,0.923943661971831,0.890497737556561,0.9069124423963134,0.9487979756647783,0.8734177215189873,0.9078947368421053,0.8903225806451613,3e-05,0.0003
6,0.2362488998129752,0.332299047055423,0.9631384162127589,0.9799139002967161,0.9219587997142176,0.9133918662794022,0.9811045350866248,0.9516129032258065,0.96,0.9557880526493419,0.9608114558322096,0.924015009380863,0.8914027149321267,0.9074159373560571,0.9474992577194425,0.8424242424242424,0.9144736842105263,0.8769716088328076,3e-05,0.0003
7,0.22911388855041745,0.3298411668793669,0.9627951517770098,0.9789649066472101,0.9210893197600183,0.9155597648762356,0.979542810928703,0.948959032907992,0.9579661016949153,0.9534412955465587,0.9602988620764544,0.9199255121042831,0.8941176470588236,0.9068379990821478,0.9485437823258722,0.8629283489096573,0.9111842105263158,0.8864,3e-05,0.0003
8,0.22006603591450832,0.3213839965579248,0.9645969603159622,0.9805041279807888,0.9218717329792,0.9194293050952287,0.982441889022052,0.9515803631472763,0.9593220338983051,0.9554355165428764,0.9645185302781161,0.9216589861751152,0.9049773755656109,0.91324200913242,0.9468304616477187,0.8782051282051282,0.9013157894736842,0.8896103896103896,3e-05,0.0003
9,0.21312174070999862,0.3199534002024985,0.9639903433053498,0.9792715350179909,0.9278380109334615,0.9260174714731542,0.9824780192264816,0.9610123119015048,0.9525423728813559,0.9567585972080354,0.9610093876103939,0.9156193895870736,0.9230769230769231,0.9193330328977016,0.9484836230791741,0.8961038961038961,0.9078947368421053,0.9019607843137255,3e-05,0.0003
10,0.20811810744222206,0.31081041817691557,0.9666281546769246,0.981086307632599,0.9299455345165583,0.9313971897449517,0.9837604267025253,0.9556153328850033,0.9633898305084746,0.9594868332207968,0.9650273667774097,0.926094890510949,0.918552036199095,0.9223080417991822,0.9510966705508391,0.9169435215946844,0.9078947368421053,0.912396694214876,3e-05,0.0003
11,0.19881435058522043,0.31742317038336343,0.9665866692566336,0.981724234788724,0.9297252439711903,0.9253897486664048,0.9829612513385755,0.9581928523263655,0.9633898305084746,0.9607843137254902,0.966302489128017,0.9289667896678967,0.9113122171945701,0.920054819552307,0.9504962673033086,0.8769716088328076,0.9144736842105263,0.895330112721417,3e-05,0.0003
12,0.1989706139055671,0.31255826668170555,0.9663445763606404,0.981255886721785,0.9299522552450611,0.9273169666387412,0.981813046051503,0.9568151147098516,0.9613559322033899,0.9590801487994589,0.9658888612181002,0.926605504587156,0.9140271493212669,0.9202733485193622,0.9513318218123181,0.8910256410256411,0.9144736842105263,0.9025974025974026,1.5e-05,0.00015
13,0.1917093133176314,0.31340155083990956,0.9662567939477128,0.9812972170479258,0.9279095910648621,0.9253310996068765,0.9826375413376232,0.9575185434929198,0.9627118644067797,0.9601081812035159,0.9653849505258288,0.9265381083562901,0.9131221719457013,0.9197812215132178,0.9507478899796864,0.8846153846153846,0.9078947368421053,0.8961038961038961,1.5e-05,0.00015
14,0.1894686061538496,0.3161112224882089,0.9654381651342584,0.9803693909968042,0.9290081274395438,0.9260520511879977,0.9816799259150891,0.9598912304554724,0.9572881355932203,0.9585879158180584,0.9647421422733008,0.92188919164396,0.918552036199095,0.9202175883952856,0.949892427214385,0.8878205128205128,0.9111842105263158,0.8993506493506493,7.5e-06,7.5e-05
