threshold,precision,yawn_recall,non_yawn_specificity,f1,balanced_accuracy,tp,fp,tn,fn
0.01,0.11728395061728394,1.0,0.11317829457364341,0.20994475138121543,0.5565891472868217,304,2288,292,0
0.015,0.13056636402939906,0.993421052631579,0.22054263565891472,0.23079862437906,0.6069818441452468,302,2011,569,2
0.019999999999999997,0.1500750375187594,0.9868421052631579,0.34147286821705425,0.2605297438124186,0.6641574867401061,300,1699,881,4
0.024999999999999998,0.17195614541257934,0.9802631578947368,0.4437984496124031,0.29258713794796265,0.71203080375357,298,1435,1145,6
0.03,0.19879919946631086,0.9802631578947368,0.5344961240310078,0.33056017748197447,0.7573796409628724,298,1201,1379,6
0.034999999999999996,0.22741194486983154,0.9769736842105263,0.6089147286821706,0.368944099378882,0.7929442064463484,297,1009,1571,7
0.039999999999999994,0.25741710296684117,0.9703947368421053,0.67015503875969,0.40689655172413797,0.8202748878008976,295,851,1729,9
0.045,0.28488372093023256,0.9671052631578947,0.713953488372093,0.44011976047904194,0.8405293757649939,294,738,1842,10
0.049999999999999996,0.31917211328976036,0.9638157894736842,0.7577519379844961,0.4795417348608838,0.8607838637290901,293,625,1955,11
0.05499999999999999,0.3573170731707317,0.9638157894736842,0.7957364341085271,0.5213523131672597,0.8797761117911056,293,527,2053,11
0.05999999999999999,0.382699868938401,0.9605263157894737,0.8174418604651162,0.5473289597000937,0.888984088127295,292,471,2109,12
0.06499999999999999,0.4104372355430183,0.9572368421052632,0.837984496124031,0.5745310957551826,0.897610669114647,291,418,2162,13
0.06999999999999999,0.4395770392749245,0.9572368421052632,0.8562015503875969,0.6024844720496895,0.90671919624643,291,371,2209,13
0.07499999999999998,0.4654895666131621,0.9539473684210527,0.8709302325581395,0.6256742179072277,0.912438800489596,290,333,2247,14
0.07999999999999999,0.48494983277591974,0.9539473684210527,0.8806201550387597,0.6430155210643016,0.9172837617299061,290,308,2272,14
0.08499999999999998,0.5043478260869565,0.9539473684210527,0.8895348837209303,0.6598407281001137,0.9217411260709915,290,285,2295,14
0.08999999999999998,0.5283363802559415,0.9506578947368421,0.9,0.6792009400705052,0.9253289473684211,289,258,2322,15
0.09499999999999999,0.5463137996219282,0.9506578947368421,0.9069767441860465,0.6938775510204082,0.9288173194614443,289,240,2340,15
0.09999999999999998,0.5589941972920697,0.9506578947368421,0.9116279069767442,0.7040194884287455,0.9311429008567932,289,228,2352,15
0.10499999999999998,0.5714285714285714,0.9473684210526315,0.9162790697674419,0.7128712871287128,0.9318237454100367,288,216,2364,16
0.10999999999999997,0.5901639344262295,0.9473684210526315,0.9224806201550387,0.7272727272727273,0.9349245206038351,288,200,2380,16
0.11499999999999998,0.6075949367088608,0.9473684210526315,0.9279069767441861,0.7403598971722365,0.9376376988984088,288,186,2394,16
0.11999999999999998,0.6180257510729614,0.9473684210526315,0.9310077519379845,0.7480519480519481,0.9391880864953079,288,178,2402,16
0.12499999999999997,0.6301969365426696,0.9473684210526315,0.9344961240310078,0.7568988173455978,0.9409322725418197,288,169,2411,16
0.12999999999999998,0.6442953020134228,0.9473684210526315,0.9383720930232559,0.7669773635153129,0.9428702570379437,288,159,2421,16
0.13499999999999998,0.6605504587155964,0.9473684210526315,0.9426356589147287,0.7783783783783784,0.94500203998368,288,148,2432,16
0.13999999999999999,0.6697674418604651,0.9473684210526315,0.9449612403100776,0.7847411444141689,0.9461648306813546,288,142,2438,16
0.145,0.6824644549763034,0.9473684210526315,0.9480620155038759,0.7933884297520661,0.9477152182782538,288,134,2446,16
0.15,0.6889952153110048,0.9473684210526315,0.9496124031007752,0.7977839335180056,0.9484904120767034,288,130,2450,16
0.155,0.7058823529411765,0.9473684210526315,0.9534883720930233,0.8089887640449439,0.9504283965728274,288,120,2460,16
0.15999999999999998,0.72,0.9473684210526315,0.9565891472868217,0.8181818181818181,0.9519787841697266,288,112,2468,16
0.16499999999999998,0.7291139240506329,0.9473684210526315,0.9585271317829457,0.8240343347639485,0.9529477764177886,288,107,2473,16
0.16999999999999998,0.7346938775510204,0.9473684210526315,0.9596899224806201,0.8275862068965517,0.9535291717666259,288,104,2476,16
0.175,0.7441860465116279,0.9473684210526315,0.9616279069767442,0.8335745296671491,0.9544981640146879,288,99,2481,16
0.18,0.7493472584856397,0.944078947368421,0.9627906976744186,0.8355167394468704,0.9534348225214198,287,96,2484,17
0.18499999999999997,0.7552631578947369,0.944078947368421,0.963953488372093,0.8391812865497076,0.954016217870257,287,93,2487,17
0.18999999999999997,0.7559681697612732,0.9375,0.9643410852713178,0.8370044052863437,0.9509205426356588,285,92,2488,19
0.19499999999999998,0.7620320855614974,0.9375,0.9655038759689922,0.8407079646017699,0.9515019379844961,285,89,2491,19
0.19999999999999998,0.7640750670241286,0.9375,0.9658914728682171,0.8419497784342689,0.9516957364341085,285,88,2492,19
0.205,0.7681940700808625,0.9375,0.9666666666666667,0.8444444444444443,0.9520833333333334,285,86,2494,19
0.20999999999999996,0.7723577235772358,0.9375,0.9674418604651163,0.8469539375928677,0.9524709302325581,285,84,2496,19
0.21499999999999997,0.776566757493188,0.9375,0.9682170542635659,0.849478390461997,0.9528585271317829,285,82,2498,19
0.21999999999999997,0.7802197802197802,0.9342105263157895,0.9689922480620154,0.8502994011976048,0.9516013871889024,284,80,2500,20
0.22499999999999998,0.7910863509749304,0.9342105263157895,0.9709302325581395,0.856711915535445,0.9525703794369644,284,75,2505,20
0.22999999999999998,0.7910863509749304,0.9342105263157895,0.9709302325581395,0.856711915535445,0.9525703794369644,284,75,2505,20
0.235,0.7910863509749304,0.9342105263157895,0.9709302325581395,0.856711915535445,0.9525703794369644,284,75,2505,20
0.23999999999999996,0.797752808988764,0.9342105263157895,0.9720930232558139,0.8606060606060606,0.9531517747858017,284,72,2508,20
