threshold,precision,yawn_recall,non_yawn_specificity,f1,balanced_accuracy,tp,fp,tn,fn
0.01,0.11746280344557557,0.9868421052631579,0.1263565891472868,0.20993701889433172,0.5565993472052223,300,2254,326,4
0.015,0.13336306868867082,0.9835526315789473,0.24689922480620155,0.23487824037706204,0.6152259281925745,299,1943,637,5
0.019999999999999997,0.15301391035548687,0.9769736842105263,0.3627906976744186,0.2645879732739421,0.6698821909424725,297,1644,936,7
0.024999999999999998,0.17463126843657817,0.9736842105263158,0.45775193798449615,0.29614807403701854,0.715718074255406,296,1399,1181,8
0.03,0.19772117962466487,0.9703947368421053,0.536046511627907,0.32850779510022265,0.7532206242350061,295,1197,1383,9
0.034999999999999996,0.2221379833206975,0.9638157894736842,0.6023255813953489,0.36105976586568084,0.7830706854345165,293,1026,1554,11
0.039999999999999994,0.24641350210970464,0.9605263157894737,0.6538759689922481,0.3922095366017461,0.8072011423908609,292,893,1687,12
0.045,0.26976744186046514,0.9539473684210527,0.6957364341085271,0.42059463379260337,0.8248419012647898,290,785,1795,14
0.049999999999999996,0.2891566265060241,0.9473684210526315,0.7255813953488373,0.4430769230769231,0.8364749082007343,288,708,1872,16
0.05499999999999999,0.3142857142857143,0.9407894736842105,0.7581395348837209,0.47116968698517303,0.8494645042839657,286,624,1956,18
0.05999999999999999,0.3352941176470588,0.9375,0.7810077519379846,0.49393414211438474,0.8592538759689923,285,565,2015,19
0.06499999999999999,0.3475609756097561,0.9375,0.7926356589147286,0.5071174377224198,0.8650678294573644,285,535,2045,19
0.06999999999999999,0.36363636363636365,0.9342105263157895,0.8073643410852713,0.5235023041474655,0.8707874337005304,284,497,2083,20
0.07499999999999998,0.38018741633199465,0.9342105263157895,0.8205426356589147,0.5404376784015225,0.8773765809873522,284,463,2117,20
0.07999999999999999,0.39444444444444443,0.9342105263157895,0.8310077519379845,0.5546874999999999,0.882609139126887,284,436,2144,20
0.08499999999999998,0.4098124098124098,0.9342105263157895,0.8414728682170542,0.5697091273821465,0.8878416972664218,284,409,2171,20
0.08999999999999998,0.42199108469539376,0.9342105263157895,0.8492248062015504,0.5813715455475947,0.8917176662586699,284,389,2191,20
0.09499999999999999,0.4382716049382716,0.9342105263157895,0.8589147286821706,0.5966386554621849,0.89656262749898,284,364,2216,20
0.09999999999999998,0.45151033386327505,0.9342105263157895,0.8662790697674418,0.6087888531618435,0.9002447980416157,284,345,2235,20
0.10499999999999998,0.46405228758169936,0.9342105263157895,0.8728682170542635,0.6200873362445415,0.9035393716850265,284,328,2252,20
0.10999999999999997,0.47333333333333333,0.9342105263157895,0.8775193798449612,0.6283185840707964,0.9058649530803753,284,316,2264,20
0.11499999999999998,0.48217317487266553,0.9342105263157895,0.8817829457364341,0.6360582306830908,0.9079967360261119,284,305,2275,20
0.11999999999999998,0.493891797556719,0.930921052631579,0.8875968992248062,0.645381984036488,0.9092589759281926,283,290,2290,21
0.12499999999999997,0.5062611806797853,0.930921052631579,0.8930232558139535,0.6558516801853997,0.9119721542227662,283,276,2304,21
0.12999999999999998,0.5173674588665448,0.930921052631579,0.8976744186046511,0.6650998824911869,0.914297735618115,283,264,2316,21
0.13499999999999998,0.5250463821892394,0.930921052631579,0.9007751937984496,0.67141162514828,0.9158481232150143,283,256,2324,21
0.13999999999999999,0.5339622641509434,0.930921052631579,0.9042635658914728,0.6786570743405276,0.9175923092615259,283,247,2333,21
0.145,0.5431861804222649,0.930921052631579,0.9077519379844962,0.6860606060606059,0.9193364953080376,283,238,2342,21
0.15,0.55078125,0.9276315789473685,0.9108527131782945,0.6911764705882353,0.9192421460628315,282,230,2350,22
0.155,0.5542406311637081,0.9243421052631579,0.9124031007751938,0.6929716399506781,0.9183726030191759,281,226,2354,23
0.15999999999999998,0.5676767676767677,0.9243421052631579,0.9170542635658915,0.7033792240300375,0.9206981844145247,281,214,2366,23
0.16499999999999998,0.5758196721311475,0.9243421052631579,0.9197674418604651,0.7095959595959597,0.9220547735618114,281,207,2373,23
0.16999999999999998,0.5817805383022774,0.9243421052631579,0.9217054263565891,0.7141041931385007,0.9230237658098734,281,202,2378,23
0.175,0.5915789473684211,0.9243421052631579,0.9248062015503876,0.7214377406931963,0.9245741534067727,281,194,2386,23
0.18,0.5991471215351812,0.9243421052631579,0.9271317829457364,0.7270375161707632,0.9257369441044472,281,188,2392,23
0.18499999999999997,0.6069114470842333,0.9243421052631579,0.9294573643410853,0.7327249022164276,0.9268997348021215,281,182,2398,23
0.18999999999999997,0.6122004357298475,0.9243421052631579,0.9310077519379845,0.7365661861074706,0.9276749286005712,281,178,2402,23
0.19499999999999998,0.6203090507726269,0.9243421052631579,0.9333333333333333,0.7424042272126816,0.9288377192982455,281,172,2408,23
0.19999999999999998,0.623059866962306,0.9243421052631579,0.9341085271317829,0.7443708609271522,0.9292253161974704,281,170,2410,23
0.205,0.6286353467561522,0.9243421052631579,0.9356589147286821,0.748335552596538,0.93000050999592,281,166,2414,23
0.20999999999999996,0.6314606741573033,0.9243421052631579,0.9364341085271318,0.7503337783711614,0.9303881068951448,281,164,2416,23
0.21499999999999997,0.63718820861678,0.9243421052631579,0.937984496124031,0.7543624161073825,0.9311633006935944,281,160,2420,23
0.21999999999999997,0.6459770114942529,0.9243421052631579,0.9403100775193799,0.760487144790257,0.9323260913912689,281,154,2426,23
