epoch,train_loss,loss,ap,roc_auc,balanced_accuracy_05,closed_precision_05,closed_recall_05,closed_f1_05,backbone_lr,classifier_lr
1,0.28430068644539946,0.5105252614180158,0.7170823365807807,0.9413015770391632,0.7628656202414811,0.7475247524752475,0.5412186379928315,0.6278586278586279,3e-05,0.0003
2,0.1036046598717975,0.33525610056863253,0.8583798957722779,0.9725876655923775,0.8584849800870098,0.8529411764705882,0.7275985663082437,0.7852998065764023,3e-05,0.0003
3,0.07890535559496428,0.300942262536601,0.8998018484876057,0.9827961343003024,0.8730036669507493,0.9051724137931034,0.7526881720430108,0.821917808219178,3e-05,0.0003
4,0.0632724421112023,0.27928685739819975,0.9021416817680594,0.9817822534386507,0.8834526806618144,0.9,0.7741935483870968,0.8323699421965318,3e-05,0.0003
5,0.05527452106962537,0.26891566921455196,0.9004690785476326,0.9823743642156111,0.8931125761499086,0.8383458646616542,0.7992831541218638,0.818348623853211,3e-05,0.0003
6,0.04321616671038209,0.28950942880896413,0.9088466873282006,0.9832745032092622,0.8932943454509239,0.8809523809523809,0.7956989247311828,0.8361581920903954,3e-05,0.0003
7,0.03877840899590759,0.32767074108791244,0.8962386932081879,0.9810851083051154,0.8835745858217768,0.8611111111111112,0.7777777777777778,0.8173258003766478,3e-05,0.0003
8,0.038129729961420035,0.38017254483793245,0.902010275834801,0.9808859239812484,0.8726999924897714,0.8974358974358975,0.7526881720430108,0.8187134502923976,1.5e-05,0.00015
9,0.03344088978292294,0.3053553920043142,0.9182391716620932,0.9846856642797202,0.8868850728220066,0.897119341563786,0.7813620071684588,0.8352490421455939,1.5e-05,0.00015
10,0.03103585524886952,0.3335595906848737,0.9182076191762785,0.9854856668919735,0.8824197521189184,0.9188034188034188,0.7706093189964157,0.8382066276803118,1.5e-05,0.00015
11,0.028518987846161636,0.29285137497163966,0.9114878864211694,0.9838437567687296,0.8979115033845009,0.8653846153846154,0.8064516129032258,0.8348794063079777,7.5e-06,7.5e-05
12,0.026639251596401,0.30345178471433887,0.9138427537464863,0.9845327386103029,0.8913503935250946,0.876984126984127,0.7921146953405018,0.832391713747646,7.5e-06,7.5e-05
13,0.02749657282416644,0.2873436658740177,0.9122953458570492,0.9843618536985699,0.9028323357790556,0.8571428571428571,0.8172043010752689,0.8366972477064221,3.75e-06,3.75e-05
