threshold,precision,closed_recall,open_specificity,f1,balanced_accuracy,tp,fp,tn,fn
0.01,0.5655913978494623,0.942652329749104,0.9386577588824779,0.706989247311828,0.940655044315791,263,202,3091,16
0.015,0.5950226244343891,0.942652329749104,0.9456422714849682,0.7295423023578363,0.944147300617036,263,179,3114,16
0.019999999999999997,0.6322115384615384,0.942652329749104,0.9535378074703917,0.7568345323741007,0.9480950686097478,263,153,3140,16
0.024999999999999998,0.6485148514851485,0.9390681003584229,0.9568782265411478,0.767203513909224,0.9479731634497854,262,142,3151,17
0.03,0.6632911392405063,0.9390681003584229,0.9596112966899484,0.7774480712166172,0.9493396985241856,262,133,3160,17
0.034999999999999996,0.680628272251309,0.931899641577061,0.9629517157607045,0.7866868381240545,0.9474256786688827,260,122,3171,19
0.039999999999999994,0.6878306878306878,0.931899641577061,0.9641664136046159,0.791476407914764,0.9480330275908384,260,118,3175,19
0.045,0.7018970189701897,0.9283154121863799,0.9665958092924385,0.7993827160493826,0.9474556107394092,259,110,3183,20
0.049999999999999996,0.7203389830508474,0.9139784946236559,0.9699362283631947,0.8056872037914692,0.9419573614934253,255,99,3194,24
0.05499999999999999,0.7405247813411079,0.910394265232975,0.972972972972973,0.8167202572347267,0.941683619102974,254,89,3204,25
0.05999999999999999,0.7441176470588236,0.9068100358422939,0.9735803218949286,0.8174474959612278,0.9401951788686113,253,87,3206,26
0.06499999999999999,0.7432835820895523,0.8924731182795699,0.9738839963559065,0.8110749185667753,0.9331785573177382,249,86,3207,30
0.06999999999999999,0.75,0.8924731182795699,0.97479501973884,0.8150572831423895,0.9336340690092049,249,83,3210,30
0.07499999999999998,0.7545454545454545,0.8924731182795699,0.9754023686607957,0.8177339901477831,0.9339377434701828,249,81,3212,30
0.07999999999999999,0.7614678899082569,0.8924731182795699,0.9763133920437291,0.8217821782178217,0.9343932551616495,249,78,3215,30
0.08499999999999998,0.7630769230769231,0.8888888888888888,0.9766170665047069,0.8211920529801323,0.9327529776967979,248,77,3216,31
0.08999999999999998,0.7694704049844237,0.8853046594982079,0.9775280898876404,0.8233333333333334,0.9314163746929242,247,74,3219,32
0.09499999999999999,0.780952380952381,0.8817204301075269,0.9790464621925296,0.8282828282828283,0.9303834461500282,246,69,3224,33
0.09999999999999998,0.7852564102564102,0.8781362007168458,0.9796538111144852,0.8291032148900169,0.9288950059156655,245,67,3226,34
0.10499999999999998,0.7852564102564102,0.8781362007168458,0.9796538111144852,0.8291032148900169,0.9288950059156655,245,67,3226,34
0.10999999999999997,0.7852564102564102,0.8781362007168458,0.9796538111144852,0.8291032148900169,0.9288950059156655,245,67,3226,34
0.11499999999999998,0.7928802588996764,0.8781362007168458,0.9805648344974187,0.8333333333333333,0.9293505176071323,245,64,3229,34
0.11999999999999998,0.7980456026058632,0.8781362007168458,0.9811721834193744,0.8361774744027304,0.9296541920681101,245,62,3231,34
0.12499999999999997,0.7980456026058632,0.8781362007168458,0.9811721834193744,0.8361774744027304,0.9296541920681101,245,62,3231,34
0.12999999999999998,0.7980456026058632,0.8781362007168458,0.9811721834193744,0.8361774744027304,0.9296541920681101,245,62,3231,34
0.13499999999999998,0.8006535947712419,0.8781362007168458,0.9814758578803523,0.8376068376068376,0.929806029298599,245,61,3232,34
0.13999999999999999,0.8006535947712419,0.8781362007168458,0.9814758578803523,0.8376068376068376,0.929806029298599,245,61,3232,34
0.145,0.8,0.8745519713261649,0.9814758578803523,0.8356164383561645,0.9280139146032587,244,61,3232,35
0.15,0.8052805280528053,0.8745519713261649,0.9820832068023079,0.838487972508591,0.9283175890642363,244,59,3234,35
0.155,0.8073089700996677,0.8709677419354839,0.9823868812632858,0.8379310344827586,0.9266773115993848,243,58,3235,36
0.15999999999999998,0.8073089700996677,0.8709677419354839,0.9823868812632858,0.8379310344827586,0.9266773115993848,243,58,3235,36
0.16499999999999998,0.8073089700996677,0.8709677419354839,0.9823868812632858,0.8379310344827586,0.9266773115993848,243,58,3235,36
0.16999999999999998,0.8087248322147651,0.8637992831541219,0.9826905557242636,0.8353552859618717,0.9232449194391927,241,57,3236,38
0.175,0.8087248322147651,0.8637992831541219,0.9826905557242636,0.8353552859618717,0.9232449194391927,241,57,3236,38
0.18,0.8114478114478114,0.8637992831541219,0.9829942301852415,0.8368055555555555,0.9233967566696817,241,56,3237,38
0.18499999999999997,0.8156996587030717,0.8566308243727598,0.983601579107197,0.8356643356643357,0.9201162017399784,239,54,3239,40
